gene_id	gene_name	chromosome	start	end	strand	type
ENSG00000279429.1	AC004009.2	chr7	27412164	27412891	+	TEC
ENSG00000233830.2	EIF4HP1	chr7	27458163	27458849	-	processed_pseudogene
ENSG00000213781.3	PSMC1P2	chr7	27461766	27462969	+	processed_pseudogene
ENSG00000235574.1	AC073150.1	chr7	27491682	27492765	-	processed_pseudogene
ENSG00000106049.8	HIBADH	chr7	27525442	27662995	-	protein_coding
ENSG00000229893.2	AC005091.1	chr7	27733064	27740395	-	antisense
ENSG00000106052.13	TAX1BP1	chr7	27739331	27844564	+	protein_coding
ENSG00000153814.12	JAZF1	chr7	27830573	28180743	-	protein_coding
ENSG00000206623.1	RNU6-979P	chr7	28118113	28118219	-	snRNA
ENSG00000234336.6	JAZF1-AS1	chr7	28180322	28243917	+	antisense
ENSG00000174495.12	PPIAP80	chr7	28279211	28279700	-	processed_pseudogene
ENSG00000146592.16	CREB5	chr7	28299321	28825894	+	protein_coding
ENSG00000225286.1	AC005105.1	chr7	28615097	28615888	-	processed_pseudogene
ENSG00000255690.2	TRIL	chr7	28953358	28958292	-	protein_coding
ENSG00000228421.2	AC005013.1	chr7	28957667	28959345	+	lincRNA
ENSG00000272568.5	AC005162.3	chr7	28979967	29013367	+	antisense
ENSG00000233517.1	AC005162.2	chr7	28987028	28988899	+	antisense
ENSG00000106066.14	CPVL	chr7	28995231	29195451	-	protein_coding
ENSG00000229452.1	AC005162.1	chr7	29080284	29082527	+	antisense
ENSG00000285412.1	AC005232.1	chr7	29122274	29128172	+	antisense
ENSG00000285162.1	AC004593.3	chr7	29122340	29514667	+	protein_coding
ENSG00000106069.22	CHN2	chr7	29146569	29514328	+	protein_coding
ENSG00000285081.1	AC004593.2	chr7	29191582	29194109	-	sense_intronic
ENSG00000235669.1	AC004593.1	chr7	29199540	29208970	-	antisense
ENSG00000237065.2	NANOGP4	chr7	29212302	29213214	+	transcribed_processed_pseudogene
ENSG00000223813.2	AC007255.1	chr7	29514225	29563670	-	antisense
ENSG00000270196.1	AC007255.2	chr7	29551521	29552151	+	processed_pseudogene
ENSG00000176532.3	PRR15	chr7	29563811	29567295	+	protein_coding
ENSG00000225264.3	ZNRF2P2	chr7	29598795	29685255	-	transcribed_processed_pseudogene
ENSG00000223437.1	TMSB4XP3	chr7	29625870	29625983	+	processed_pseudogene
ENSG00000227855.3	DPY19L2P3	chr7	29650227	29742594	+	transcribed_unprocessed_pseudogene
ENSG00000212024.2	MIR550A3	chr7	29680734	29680828	-	miRNA
ENSG00000122574.10	WIPF3	chr7	29806486	29917066	+	protein_coding
ENSG00000238906.1	RF01210	chr7	29912528	29912632	+	snoRNA
ENSG00000136193.16	SCRN1	chr7	29920103	29990289	-	protein_coding
ENSG00000227014.6	AC007285.1	chr7	29988600	30027543	+	antisense
ENSG00000106080.10	FKBP14	chr7	30010587	30026684	-	protein_coding
ENSG00000106086.19	PLEKHA8	chr7	30027404	30130483	+	protein_coding
ENSG00000231519.1	AC007285.2	chr7	30069658	30075115	-	antisense
ENSG00000283618.1	RF01699	chr7	30115845	30115994	-	sRNA
ENSG00000180354.15	MTURN	chr7	30134810	30162762	+	protein_coding
ENSG00000230751.1	AC007036.2	chr7	30140870	30141417	+	sense_intronic
ENSG00000251660.1	AC007036.3	chr7	30157531	30159534	+	sense_overlapping
ENSG00000225907.1	RPS27P16	chr7	30167804	30168004	+	processed_pseudogene
ENSG00000227017.1	AC007036.1	chr7	30176387	30179014	-	lincRNA
ENSG00000180233.10	ZNRF2	chr7	30284307	30367692	+	protein_coding
ENSG00000283237.1	MIR550B1	chr7	30289794	30289890	-	miRNA
ENSG00000207771.1	MIR550A1	chr7	30289794	30289890	+	miRNA
ENSG00000281593.1	AC006978.2	chr7	30362400	30412502	+	protein_coding
ENSG00000235859.5	AC006978.1	chr7	30371508	30372741	+	processed_pseudogene
ENSG00000281404.1	LINC01176	chr7	30390885	30412375	+	lincRNA
ENSG00000106100.10	NOD1	chr7	30424527	30478784	-	protein_coding
ENSG00000272638.1	AC006027.1	chr7	30424672	30425412	+	antisense
ENSG00000006625.17	GGCT	chr7	30496621	30504844	-	protein_coding
ENSG00000281039.1	AC005154.5	chr7	30497077	30550761	-	protein_coding
ENSG00000196295.11	GARS-DT	chr7	30516309	30594809	-	processed_transcript
ENSG00000244480.1	AC005154.2	chr7	30523143	30524535	-	transcribed_processed_pseudogene
ENSG00000264520.1	AC005154.4	chr7	30525731	30533613	+	lincRNA
ENSG00000226874.1	AC005154.1	chr7	30544053	30544431	+	processed_pseudogene
ENSG00000263683.1	AC005154.3	chr7	30550217	30551569	+	lincRNA
ENSG00000106105.13	GARS	chr7	30594681	30634033	+	protein_coding
ENSG00000106113.18	CRHR2	chr7	30651943	30700129	-	protein_coding
ENSG00000241644.2	INMT	chr7	30697985	30757602	+	protein_coding
ENSG00000223419.1	AC006022.1	chr7	30742431	30742818	-	processed_pseudogene
ENSG00000254959.6	INMT-MINDY4	chr7	30752137	30892081	+	protein_coding
ENSG00000106125.14	MINDY4	chr7	30771417	30892387	+	protein_coding
ENSG00000229263.1	AC004691.1	chr7	30796691	30803410	-	antisense
ENSG00000250424.4	AC004691.2	chr7	30852273	30923812	+	protein_coding
ENSG00000240583.11	AQP1	chr7	30911694	30925516	+	protein_coding
ENSG00000106128.18	GHRHR	chr7	30938669	30993254	+	protein_coding
ENSG00000078549.14	ADCYAP1R1	chr7	31052461	31111479	+	protein_coding
ENSG00000232887.1	AC006466.1	chr7	31119284	31119572	-	processed_pseudogene
ENSG00000271027.1	AC006380.1	chr7	31330711	31330896	+	processed_pseudogene
ENSG00000164600.6	NEUROD6	chr7	31337461	31340894	-	protein_coding
ENSG00000231418.1	AC005090.1	chr7	31414645	31421286	-	lincRNA
ENSG00000180347.13	ITPRID1	chr7	31514071	31658720	+	protein_coding
ENSG00000106341.10	PPP1R17	chr7	31686715	31708455	+	protein_coding
ENSG00000154678.16	PDE1C	chr7	31751179	32299329	-	protein_coding
ENSG00000236460.1	SNX2P2	chr7	31941261	31941583	+	processed_pseudogene
ENSG00000284839.1	AC018637.1	chr7	32427901	32431804	+	lincRNA
ENSG00000226468.2	AC018641.1	chr7	32456963	32457758	-	processed_pseudogene
ENSG00000226421.1	SLC25A5P5	chr7	32471513	32472409	+	processed_pseudogene
ENSG00000106355.9	LSM5	chr7	32485332	32495283	-	protein_coding
ENSG00000105778.18	AVL9	chr7	32495426	32588721	+	protein_coding
ENSG00000229358.3	DPY19L1P1	chr7	32580949	32761787	-	unprocessed_pseudogene
ENSG00000237004.4	ZNRF2P1	chr7	32728569	32753744	+	transcribed_processed_pseudogene
ENSG00000283461.1	MIR550B2	chr7	32732981	32733077	-	miRNA
ENSG00000207573.1	MIR550A2	chr7	32732981	32733077	+	miRNA
ENSG00000273014.1	AC018645.2	chr7	32758882	32759353	+	lincRNA
ENSG00000281332.1	LINC00997	chr7	32760279	32762924	+	lincRNA
ENSG00000250756.1	AC018645.1	chr7	32788334	32788442	+	unprocessed_pseudogene
ENSG00000251999.1	RF00322	chr7	32791814	32791946	+	snoRNA
ENSG00000231952.3	DPY19L1P2	chr7	32812757	32838570	+	unprocessed_pseudogene
ENSG00000272905.1	AC018648.1	chr7	32845394	32846061	+	lincRNA
ENSG00000170852.10	KBTBD2	chr7	32868172	32894131	-	protein_coding
ENSG00000205763.13	RP9P	chr7	32916815	32943176	-	transcribed_unprocessed_pseudogene
ENSG00000224573.1	AC083863.1	chr7	32951426	32951656	+	processed_pseudogene
ENSG00000122642.10	FKBP9	chr7	32957404	33006931	+	protein_coding
ENSG00000252821.1	RNU6-388P	chr7	33001950	33002054	-	snRNA
ENSG00000122643.19	NT5C3A	chr7	33014113	33062797	-	protein_coding
ENSG00000229054.1	RPS29P14	chr7	33036212	33036382	-	processed_pseudogene
ENSG00000241420.3	RN7SL505P	chr7	33045798	33046090	-	misc_RNA
ENSG00000164610.8	RP9	chr7	33094797	33109401	-	protein_coding
ENSG00000228015.1	AC074338.1	chr7	33128988	33129143	-	processed_pseudogene
ENSG00000122507.20	BBS9	chr7	33129244	33606068	+	protein_coding
ENSG00000222741.1	RNA5SP229	chr7	33177740	33177838	+	rRNA_pseudogene
ENSG00000224946.1	AC007312.1	chr7	33276834	33277091	-	processed_pseudogene
ENSG00000238090.1	AC006195.1	chr7	33379964	33380886	+	processed_pseudogene
ENSG00000173862.3	AC008080.1	chr7	33725981	33728456	+	lincRNA
ENSG00000227481.1	AC008080.2	chr7	33730292	33732064	-	antisense
ENSG00000236494.1	AC008080.4	chr7	33793168	33803156	-	lincRNA
ENSG00000233219.1	AC008080.3	chr7	33868501	33874231	-	lincRNA
ENSG00000164619.9	BMPER	chr7	33904308	34156356	+	protein_coding
ENSG00000236212.1	AC009262.1	chr7	34209526	34256343	+	lincRNA
ENSG00000202431.1	RNU6-438P	chr7	34297496	34297598	-	snRNA
ENSG00000197085.11	NPSR1-AS1	chr7	34346512	34871582	-	processed_transcript
ENSG00000187258.13	NPSR1	chr7	34658239	34878332	+	protein_coding
ENSG00000235379.1	RPL7P31	chr7	34710757	34711480	+	processed_pseudogene
ENSG00000230356.1	NCAPD2P1	chr7	34750253	34752053	-	processed_pseudogene
ENSG00000242653.3	RN7SL132P	chr7	34753424	34753719	+	misc_RNA
ENSG00000251802.1	RF00322	chr7	34892417	34892549	+	snoRNA
ENSG00000173852.14	DPY19L1	chr7	34928876	35038271	-	protein_coding
ENSG00000221669.1	MIR548N	chr7	34940760	34940834	-	miRNA
ENSG00000189212.12	DPY19L2P1	chr7	35079989	35186041	-	transcribed_unprocessed_pseudogene
ENSG00000236592.5	S100A11P2	chr7	35169224	35169535	+	processed_pseudogene
ENSG00000164532.10	TBX20	chr7	35202430	35254147	-	protein_coding
ENSG00000226063.1	AC009531.1	chr7	35258381	35259729	-	lincRNA
ENSG00000235464.1	AC007652.1	chr7	35496021	35510263	-	lincRNA
ENSG00000122557.9	HERPUD2	chr7	35632659	35695571	-	protein_coding
ENSG00000271122.1	AC018647.2	chr7	35695214	35699413	+	antisense
ENSG00000227544.8	AC018647.1	chr7	35715034	35734887	+	lincRNA
ENSG00000228878.7	SEPT7-AS1	chr7	35751856	35800616	-	lincRNA
ENSG00000232736.1	AC007551.1	chr7	35768122	35768640	-	processed_pseudogene
ENSG00000122545.19	SEPT7	chr7	35800932	35907105	+	protein_coding
ENSG00000274328.1	AC007551.2	chr7	35847038	35847426	-	processed_pseudogene
ENSG00000200446.1	RNU6-1085P	chr7	35930158	35930264	-	snRNA
ENSG00000273580.1	AC087072.2	chr7	35933888	35934569	+	unprocessed_pseudogene
ENSG00000226102.3	SEPT7P3	chr7	35946294	35972587	+	unprocessed_pseudogene
ENSG00000270889.1	AC087072.1	chr7	35971147	35971567	-	processed_pseudogene
ENSG00000232930.1	AC083864.2	chr7	36029611	36055431	+	lincRNA
ENSG00000285573.1	AC083864.4	chr7	36064715	36066679	+	lincRNA
ENSG00000205745.2	AC083864.1	chr7	36079084	36085736	+	lincRNA
ENSG00000261184.2	AC083864.3	chr7	36095272	36100653	+	lincRNA
ENSG00000228815.1	MARK2P13	chr7	36109024	36110872	-	processed_pseudogene
ENSG00000271117.1	AC078841.1	chr7	36146842	36148024	+	processed_pseudogene
ENSG00000122547.10	EEPD1	chr7	36153149	36301543	+	protein_coding
ENSG00000228770.1	AC007327.1	chr7	36228621	36228884	-	processed_pseudogene
ENSG00000229679.1	AC007327.2	chr7	36229280	36231107	-	antisense
ENSG00000234457.1	AC006960.1	chr7	36305631	36305904	+	processed_pseudogene
ENSG00000260070.1	AC006960.3	chr7	36319775	36320479	+	antisense
ENSG00000164542.12	KIAA0895	chr7	36324221	36390125	-	protein_coding
ENSG00000201432.1	RF00019	chr7	36337667	36337778	-	misc_RNA
ENSG00000011426.10	ANLN	chr7	36389806	36453791	+	protein_coding
ENSG00000237400.1	AC006960.2	chr7	36463023	36504513	+	antisense
ENSG00000136250.11	AOAH	chr7	36512949	36724549	-	protein_coding
ENSG00000230539.1	AOAH-IT1	chr7	36597834	36600120	-	sense_intronic
ENSG00000272984.1	AC007349.4	chr7	36734004	36734535	-	lincRNA
ENSG00000229424.1	AC007349.1	chr7	36750687	36763081	+	lincRNA
ENSG00000235728.1	AC007349.3	chr7	36781008	36782789	+	lincRNA
ENSG00000225739.1	NPM1P18	chr7	36818959	36819690	+	processed_pseudogene
ENSG00000230831.1	AC007349.2	chr7	36838972	36841373	+	antisense
ENSG00000155849.15	ELMO1	chr7	36854361	37449249	-	protein_coding
ENSG00000221325.1	MIR1200	chr7	36919357	36919432	-	miRNA
ENSG00000224101.1	ELMO1-AS1	chr7	36997796	37013630	+	antisense
ENSG00000224706.1	RPS17P13	chr7	37116779	37117185	+	processed_pseudogene
ENSG00000222869.1	RNU6-565P	chr7	37351143	37351242	+	snRNA
ENSG00000213744.3	RPS10P14	chr7	37375522	37376023	+	processed_pseudogene
ENSG00000200113.1	RF00432	chr7	37419628	37419767	+	snoRNA
ENSG00000201566.1	RF00019	chr7	37435115	37435216	+	misc_RNA
ENSG00000178503.6	NECAP1P1	chr7	37585500	37586329	-	processed_pseudogene
ENSG00000187037.8	GPR141	chr7	37683796	37833788	+	protein_coding
ENSG00000086289.11	EPDR1	chr7	37683843	37951941	+	protein_coding
ENSG00000283444.1	GPR141BP	chr7	37796058	37796888	+	unitary_pseudogene
ENSG00000225314.1	AC018634.1	chr7	37821210	37821610	+	processed_pseudogene
ENSG00000086288.11	NME8	chr7	37848597	37900401	+	protein_coding
ENSG00000106483.11	SFRP4	chr7	37905932	38025695	-	protein_coding
ENSG00000010270.13	STARD3NL	chr7	38178222	38230671	+	protein_coding
ENSG00000227191.8	TRGC2	chr7	38239580	38249572	-	TR_C_gene
ENSG00000211687.1	TRGJ2	chr7	38253380	38253429	-	TR_J_gene
ENSG00000211688.1	TRGJP2	chr7	38256337	38256396	-	TR_J_gene
ENSG00000211689.7	TRGC1	chr7	38257879	38265678	-	TR_C_gene
ENSG00000211690.1	TRGJ1	chr7	38269491	38269540	-	TR_J_gene
ENSG00000211691.2	TRGJP	chr7	38273587	38273647	-	TR_J_gene
ENSG00000211692.1	TRGJP1	chr7	38276259	38276318	-	TR_J_gene
ENSG00000211693.2	TRGV11	chr7	38291616	38292078	-	TR_V_gene
ENSG00000231202.1	TRGVB	chr7	38295763	38296233	-	TR_V_pseudogene
ENSG00000211694.2	TRGV10	chr7	38299811	38300322	-	TR_V_gene
ENSG00000231916.1	AC006033.1	chr7	38311383	38311808	+	processed_pseudogene
ENSG00000211695.2	TRGV9	chr7	38317017	38318861	-	TR_V_gene
ENSG00000225992.1	TRGVA	chr7	38322446	38322730	-	TR_V_pseudogene
ENSG00000272908.1	AC006033.2	chr7	38326070	38329643	-	lincRNA
ENSG00000211696.2	TRGV8	chr7	38330343	38330935	-	TR_V_gene
ENSG00000249978.1	TRGV7	chr7	38335041	38335514	-	TR_V_pseudogene
ENSG00000226212.2	TRGV6	chr7	38340700	38340998	-	TR_V_pseudogene
ENSG00000281103.1	TRG-AS1	chr7	38341577	38378804	+	antisense
ENSG00000228668.1	TRGV5P	chr7	38345030	38345499	-	TR_V_pseudogene
ENSG00000211697.4	TRGV5	chr7	38349355	38350022	-	TR_V_gene
ENSG00000211698.2	TRGV4	chr7	38353715	38354517	-	TR_V_gene
ENSG00000211699.2	TRGV3	chr7	38358512	38359162	-	TR_V_gene
ENSG00000233306.2	TRGV2	chr7	38362864	38363518	-	TR_V_gene
ENSG00000211701.2	TRGV1	chr7	38367586	38368169	-	TR_V_gene
ENSG00000078053.16	AMPH	chr7	38383704	38631567	-	protein_coding
ENSG00000241756.3	RN7SL83P	chr7	38531042	38531338	-	misc_RNA
ENSG00000227404.1	KRT8P20	chr7	38655205	38656613	+	processed_pseudogene
ENSG00000164556.7	FAM183BP	chr7	38685346	38687037	-	processed_pseudogene
ENSG00000006715.15	VPS41	chr7	38722963	38932394	-	protein_coding
ENSG00000106536.19	POU6F2	chr7	38977998	39493095	+	protein_coding
ENSG00000233854.1	POU6F2-AS2	chr7	38984243	39013551	-	antisense
ENSG00000206947.1	SNORA20B	chr7	39329003	39329134	-	snoRNA
ENSG00000224122.1	POU6F2-AS1	chr7	39404598	39406346	-	antisense
ENSG00000227172.2	AC011290.1	chr7	39545646	39566239	-	antisense
ENSG00000241127.7	YAE1	chr7	39566376	39610320	+	protein_coding
ENSG00000236015.1	AC011290.2	chr7	39569376	39570198	-	processed_pseudogene
ENSG00000231951.1	AC004837.3	chr7	39609610	39610290	-	antisense
ENSG00000106540.4	AC004837.1	chr7	39609717	39610280	+	processed_pseudogene
ENSG00000006451.7	RALA	chr7	39623483	39708124	+	protein_coding
ENSG00000228554.1	AC004837.2	chr7	39700341	39703296	-	antisense
ENSG00000188185.11	LINC00265	chr7	39733632	39793092	+	lincRNA
ENSG00000252480.1	RNU6-719P	chr7	39768341	39768444	+	snRNA
ENSG00000270797.1	AC004987.4	chr7	39788967	39789304	-	processed_pseudogene
ENSG00000226220.1	CICP22	chr7	39796593	39797911	-	processed_pseudogene
ENSG00000237251.2	AC004987.3	chr7	39816549	39868140	+	unprocessed_pseudogene
ENSG00000231198.1	AC004987.1	chr7	39833286	39833793	-	processed_pseudogene
ENSG00000233225.3	AC004987.2	chr7	39833571	39834718	+	processed_pseudogene
ENSG00000175741.5	RWDD4P2	chr7	39854494	39855056	-	processed_pseudogene
ENSG00000242855.3	RN7SL496P	chr7	39888375	39888664	+	misc_RNA
ENSG00000259826.1	AC072061.1	chr7	39947522	39949755	-	antisense
ENSG00000065883.15	CDK13	chr7	39949646	40099580	+	protein_coding
ENSG00000273444.1	AC006023.2	chr7	40107288	40107454	+	unprocessed_pseudogene
ENSG00000270577.1	AC006023.1	chr7	40115685	40115943	+	processed_pseudogene
ENSG00000168303.7	MPLKIP	chr7	40126023	40134652	-	protein_coding
ENSG00000199273.1	RF00019	chr7	40128121	40128232	-	misc_RNA
ENSG00000175600.15	SUGCT	chr7	40134977	40860763	+	protein_coding
ENSG00000248711.1	THUMPD3P1	chr7	40151613	40154151	+	unprocessed_pseudogene
ENSG00000203446.2	AC004988.1	chr7	40538127	40546928	-	antisense
ENSG00000227658.1	AC005160.1	chr7	40775558	40785217	+	sense_intronic
ENSG00000232458.1	LINC01450	chr7	40964667	40979939	-	lincRNA
ENSG00000224017.1	LINC01449	chr7	41101604	41133507	+	lincRNA
ENSG00000122641.10	INHBA	chr7	41667168	41705834	-	protein_coding
ENSG00000224116.6	INHBA-AS1	chr7	41693916	41779388	+	antisense
ENSG00000106571.13	GLI3	chr7	41960950	42237870	-	protein_coding
ENSG00000213721.3	HMGN2P30	chr7	42113365	42113620	+	processed_pseudogene
ENSG00000238284.1	LINC01448	chr7	42661726	42706447	-	lincRNA
ENSG00000229161.2	TCP1P1	chr7	42794906	42802494	+	unprocessed_pseudogene
ENSG00000231539.1	AC010132.1	chr7	42829672	42844438	-	lincRNA
ENSG00000261019.1	AC010132.4	chr7	42901272	42902639	-	lincRNA
ENSG00000136197.12	C7orf25	chr7	42908726	42912305	-	protein_coding
ENSG00000256646.7	AC010132.3	chr7	42909273	42932174	-	protein_coding
ENSG00000106588.10	PSMA2	chr7	42916857	42932223	-	protein_coding
ENSG00000234983.1	AC010132.2	chr7	42918741	42920084	+	processed_pseudogene
ENSG00000106591.3	MRPL32	chr7	42932200	42948958	+	protein_coding
ENSG00000232006.8	AC005537.1	chr7	42954135	43113931	-	lincRNA
ENSG00000201933.1	RF00019	chr7	43096732	43096844	+	misc_RNA
ENSG00000002746.14	HECW1	chr7	43112599	43566001	+	protein_coding
ENSG00000181211.1	HECW1-IT1	chr7	43117896	43163187	+	sense_intronic
ENSG00000264069.3	MIR3943	chr7	43150895	43150994	+	miRNA
ENSG00000252983.1	RNU7-35P	chr7	43194421	43194482	+	snRNA
ENSG00000223258.1	RNU6-575P	chr7	43207762	43207866	-	snRNA
ENSG00000228680.1	AC004692.2	chr7	43239066	43249268	-	antisense
ENSG00000213717.3	AC004692.1	chr7	43274159	43274582	+	processed_pseudogene
ENSG00000231638.1	LUARIS	chr7	43508728	43522542	-	antisense
ENSG00000164543.6	STK17A	chr7	43582758	43650713	+	protein_coding
ENSG00000106603.18	COA1	chr7	43608456	43729717	-	protein_coding
ENSG00000106605.10	BLVRA	chr7	43758680	43807342	+	protein_coding
ENSG00000229497.1	AC005189.1	chr7	43767290	43767599	+	processed_pseudogene
ENSG00000062582.13	MRPS24	chr7	43866558	43869893	-	protein_coding
ENSG00000270617.1	URGCP-MRPS24	chr7	43866558	43906589	-	protein_coding
ENSG00000106608.16	URGCP	chr7	43875894	43926411	-	protein_coding
ENSG00000237972.1	TUBG1P	chr7	43918697	43920054	+	processed_pseudogene
ENSG00000078967.12	UBE2D4	chr7	43926438	43956136	+	protein_coding
ENSG00000214783.9	POLR2J4	chr7	43940895	44019175	-	processed_transcript
ENSG00000273432.1	AC004951.4	chr7	43951910	44019151	-	processed_transcript
ENSG00000241057.2	AC004951.3	chr7	43961590	43973323	-	transcribed_unprocessed_pseudogene
ENSG00000239556.4	AC004951.2	chr7	43984995	43990207	-	transcribed_unprocessed_pseudogene
ENSG00000136206.3	SPDYE1	chr7	44000889	44010122	+	protein_coding
ENSG00000228434.1	AC004951.1	chr7	44004046	44007866	-	lincRNA
ENSG00000285596.1	AC017116.2	chr7	44011882	44038978	-	processed_transcript
ENSG00000272655.2	POLR2J4	chr7	44013562	44019170	-	transcribed_unprocessed_pseudogene
ENSG00000228903.7	RASA4CP	chr7	44026951	44041892	-	transcribed_unprocessed_pseudogene
ENSG00000235314.1	LINC00957	chr7	44039171	44042306	+	lincRNA
ENSG00000136279.20	DBNL	chr7	44044640	44069456	+	protein_coding
ENSG00000284067.1	MIR6837	chr7	44051766	44051829	+	miRNA
ENSG00000164708.5	PGAM2	chr7	44062727	44065587	-	protein_coding
ENSG00000239775.1	AC017116.1	chr7	44064908	44066079	+	sense_overlapping
ENSG00000122678.16	POLM	chr7	44072247	44082540	-	protein_coding
ENSG00000283969.1	MIR6838	chr7	44073378	44073433	-	miRNA
ENSG00000106624.10	AEBP1	chr7	44104361	44114562	+	protein_coding
ENSG00000284412.1	MIR4649	chr7	44110849	44110912	+	miRNA
ENSG00000106628.10	POLD2	chr7	44114681	44124358	-	protein_coding
ENSG00000252848.1	RNA5SP230	chr7	44125752	44125873	-	rRNA_pseudogene
ENSG00000106631.8	MYL7	chr7	44138864	44141332	-	protein_coding
ENSG00000106633.15	GCK	chr7	44144271	44198170	-	protein_coding
ENSG00000106636.7	YKT6	chr7	44200968	44214294	+	protein_coding
ENSG00000058404.19	CAMK2B	chr7	44217150	44334577	-	protein_coding
ENSG00000279853.1	AC004453.2	chr7	44367140	44369292	-	TEC
ENSG00000015676.17	NUDCD3	chr7	44379121	44490880	-	protein_coding
ENSG00000146677.7	AC004453.1	chr7	44467897	44468304	+	processed_pseudogene
ENSG00000200456.1	RNU6-1097P	chr7	44503773	44503879	-	snRNA
ENSG00000225443.1	AC004938.1	chr7	44511025	44511332	-	processed_pseudogene
ENSG00000015520.14	NPC1L1	chr7	44512535	44541315	-	protein_coding
ENSG00000136271.10	DDX56	chr7	44565417	44575051	-	protein_coding
ENSG00000158604.14	TMED4	chr7	44577894	44582287	-	protein_coding
ENSG00000271586.1	AC011894.1	chr7	44601032	44601487	+	processed_pseudogene
ENSG00000105953.14	OGDH	chr7	44606572	44709066	+	protein_coding
ENSG00000122515.14	ZMIZ2	chr7	44748581	44769881	+	protein_coding
ENSG00000228596.1	AC013436.1	chr7	44785050	44787340	-	antisense
ENSG00000196262.13	PPIA	chr7	44796680	44824564	+	protein_coding
ENSG00000105968.18	H2AFV	chr7	44826791	44848083	-	protein_coding
ENSG00000234183.1	LINC01952	chr7	44848416	44849568	+	antisense
ENSG00000146676.8	PURB	chr7	44876293	44885361	-	protein_coding
ENSG00000284261.1	MIR4657	chr7	44881748	44881800	-	miRNA
ENSG00000272768.1	AC004854.2	chr7	44884953	44886393	+	antisense
ENSG00000230160.1	AC004854.1	chr7	44919669	44920329	+	processed_pseudogene
ENSG00000260997.1	AC004847.1	chr7	44958999	44960909	-	sense_overlapping
ENSG00000136286.15	MYO1G	chr7	44962662	44979098	-	protein_coding
ENSG00000232956.8	SNHG15	chr7	44983023	44986961	-	lincRNA
ENSG00000277184.1	SNORA9	chr7	44985378	44985510	-	snoRNA
ENSG00000136280.16	CCM2	chr7	44999475	45076469	+	protein_coding
ENSG00000136274.8	NACAD	chr7	45080438	45088914	-	protein_coding
ENSG00000136270.13	TBRG4	chr7	45100100	45112047	-	protein_coding
ENSG00000206838.1	SNORA5A	chr7	45104349	45104482	-	snoRNA
ENSG00000201772.1	SNORA5C	chr7	45104906	45105042	-	snoRNA
ENSG00000200656.1	SNORA5B	chr7	45105968	45106099	-	snoRNA
ENSG00000122679.8	RAMP3	chr7	45157791	45186302	+	protein_coding
ENSG00000275295.1	AC073968.1	chr7	45303620	45304362	+	processed_pseudogene
ENSG00000234359.3	ELK1P1	chr7	45391626	45392205	-	processed_pseudogene
ENSG00000225537.1	AC073325.1	chr7	45460712	45542182	+	lincRNA
ENSG00000226999.1	AC073325.2	chr7	45534523	45534681	-	processed_pseudogene
ENSG00000164742.15	ADCY1	chr7	45574140	45723116	+	protein_coding
ENSG00000214765.8	SEPT7P2	chr7	45723780	45768985	-	transcribed_unprocessed_pseudogene
ENSG00000272556.2	GTF2IP13	chr7	45769105	45815263	+	transcribed_unprocessed_pseudogene
ENSG00000212450.1	RNU6-241P	chr7	45789585	45789688	+	snRNA
ENSG00000235955.1	CICP20	chr7	45816216	45819016	-	processed_pseudogene
ENSG00000226838.1	AC096582.1	chr7	45816557	45821064	+	unprocessed_pseudogene
ENSG00000251378.1	AC096582.2	chr7	45818582	45819097	+	unprocessed_pseudogene
ENSG00000202350.1	RNU6-326P	chr7	45843634	45843740	+	snRNA
ENSG00000283247.2	AC096582.3	chr7	45859994	45873082	-	protein_coding
ENSG00000146678.9	IGFBP1	chr7	45888357	45893668	+	protein_coding
ENSG00000146674.14	IGFBP3	chr7	45912245	45921874	-	protein_coding
ENSG00000237471.1	AC073115.2	chr7	45969657	45980191	+	lincRNA
ENSG00000229628.1	AC073115.1	chr7	45990905	46000898	+	lincRNA
ENSG00000233952.1	FTLP15	chr7	45997540	45998071	-	processed_pseudogene
ENSG00000221971.3	TTC4P1	chr7	45999621	46000778	-	processed_pseudogene
ENSG00000224547.1	ZNF619P1	chr7	46144937	46145688	+	processed_pseudogene
ENSG00000229459.1	AC023669.1	chr7	46261064	46294469	+	lincRNA
ENSG00000237760.1	AC023669.2	chr7	46302120	46343621	+	lincRNA
ENSG00000240355.1	AC004869.2	chr7	46476457	46477940	-	lincRNA
ENSG00000230680.2	AC004869.1	chr7	46477822	46481578	-	lincRNA
ENSG00000224519.1	HMGN1P19	chr7	46634614	46634946	+	processed_pseudogene
ENSG00000233539.5	AC011294.1	chr7	46673785	46759851	-	lincRNA
ENSG00000242948.1	EPS15P1	chr7	46781373	46783443	+	transcribed_processed_pseudogene
ENSG00000232072.1	AC004870.4	chr7	46890625	47049678	-	lincRNA
ENSG00000223829.5	AC004870.2	chr7	46969702	47027481	+	processed_transcript
ENSG00000229192.6	AC004870.3	chr7	47000620	47079128	-	lincRNA
ENSG00000242552.1	MRPL42P4	chr7	47026128	47026570	-	processed_pseudogene
ENSG00000214754.3	AC004870.1	chr7	47052793	47053674	+	processed_pseudogene
ENSG00000136205.16	TNS3	chr7	47275154	47582558	-	protein_coding
ENSG00000236078.1	LINC01447	chr7	47621939	47629893	+	lincRNA
ENSG00000221845.4	C7orf65	chr7	47655244	47661648	+	lincRNA
